general_id,event_id,event,type_id,period_id,time_min,time_sec,contestant_id,team_name,team_code,team_position,player_id,player_name,x,y,outcome,timeStamp,lastModified,match_id,coverage_level,local_date,local_time,week,number_of_periods,period_length,description,represented_qualifiers,non_represented_qualifiers,Long ball,Cross,Head pass,Through ball,Free kick taken,Corner taken,Players caught offside,Goal disallowed,Penalty,Hand,6-seconds violation,Dangerous play,Foul,Last line,Head,Small box-centre,Box-centre,Out of box-centre,35+ centre,Right footed,Other body part,Regular play,Fast break,Set piece,From corner,Free kick,Unnamed: 54,own goal,Assisted,Involved,Yellow Card,Second yellow,Red Card,Referee abuse,Argument,Fight,Time wasting,Excessive celebration,Crowd interaction,Other reason,Injury,Tactical,Player Position,Temperature,Conditions,Field Pitch,Lightings,Attendance figure,Official position,Official Id,Injured player id,End cause,Related event ID,Zone,End type,Jersey Number,Small box-right,Small box-left,Box-deep right,Box-right,Box-left,Box-deep left,Out of box-deep right,Out of box-right,Out of box-left,Out of box-deep left,35+ right,35+ left,Left footed,Left,High,Right,Low Left,High Left,Low Centre,High Centre,Low Right,High Right,Blocked,Close Left,Close Right,Close High,Close Left and High,Close Right and High,High claim,1 on 1,Deflected save,Dive and deflect,Catch,Dive and catch,Def block,Back pass,Corner situation,Direct free,Six Yard Blocked,Saved Off Line,Goal Mouth Y Coordinate,Goal Mouth Z Coordinate,Attacking Pass,Throw In,Volley,Overhead,Half Volley,Diving Header,Scramble,Strong,Weak,Rising,Dipping,Lob,One Bounce,Few Bounces,Swerve Left,Swerve Right,Swerve Moving,Keeper Throw,Goal Kick,Direction of play,Punch,Team Formation,Team Player Formation,Dive,Deflection,Far Wide Left,Far Wide Right,Keeper Touched,Keeper Saved,Hit Woodwork,Own Player,Pass End X,Pass End Y,Deleted Event Type,Formation slot,Blocked X Coordinate,Blocked Y Coordinate,Not past goal line,Intentional Assist,Chipped,Lay-off,Launch,Persistent Infringement,Foul and Abusive Language,Throw In set piece,Encroachment,Leaving field,Entering field,Spitting,Professional foul,Handling on the line,Out of play,Flick-on,Leading to attempt,Leading to goal,Rescinded Card,No impact on timing,Parried safe,Parried danger,Fingertip,Caught,Collected,Standing,Diving,Stooping,Reaching,Hands,Feet,Dissent,Blocked cross,Scored,Saved,Missed,Player Not Visible,From shot off target,Off the ball foul,Block by hand,Captain,Pull Back,Switch of play,Team kit,GK hoof,Gk kick from hands,Referee stop,Referee delay,Weather problem,Crowd trouble,Fire,Object thrown on pitch,Spectator on pitch,Awaiting officials decision,Referee Injury,Game end,Assist,Overrun,Length,Angle,Big Chance,Individual Play,2nd related event ID,2nd assisted,2nd assist,Players on both posts,Player on near post,Player on far post,No players on posts,Inswinger,Outswinger,Straight,Suspended,Resume,Own shot blocked,Post match complete,competition_id,competition_name,competition_known_name,competition_sponsor_name,competition_code,venue_id,venue_long_name,formation,position,macro_category,categorias
2889300807,3,Pass,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,cm7l7qimy4iysm1khmpc7u961,M. O'Riley,50.4,50.2,1,2026-01-13T20:00:10.850Z,2026-01-13T21:02:16Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End Y: 39.0; Length: 15.5; Zone: Back; Pass End X: 37.5; Angle: 3.65,"ID: 279, Value: S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.0,,,,,,,,,37.5,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,3.65,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CAM,possession,Posesión / circulación
2889300813,4,Pass,1,1,0,4,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,40.0,45.4,1,2026-01-13T20:00:15.655Z,2026-01-13T20:00:17Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Chipped: Si; Long ball: Si; Length: 38.0; Angle: 0.60; Zone: Center; Pass End Y: 77.2; Pass End X: 69.8,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,69.8,77.2,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,0.6,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CB,possession,Posesión / circulación
2889300835,6,Pass,1,1,0,6,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,ctq9si3nbc6n8cznhlcvtixd6,H. Traoré,63.2,89.3,0,2026-01-13T20:00:17.159Z,2026-01-14T11:06:14Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End X: 79.6; Flick-on: Si; Length: 19.0; Pass End Y: 100.0; Zone: Left; Angle: 0.43; Head pass: Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.0,,,,,,,,,79.6,100.0,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.43,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,LW,possession,Posesión / circulación
2889300871,5,Pass,1,1,0,18,79yi4u7f6lw3axtho60kne5go,FC Bayeux,BYX,home,p9pa46w45uk1ugqpfhsnrh1w,Q. Mayette,25.2,0.0,0,2026-01-13T20:00:29.116Z,2026-01-13T20:00:30Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End X: 41.3; Zone: Back; Angle: 0.59; Length: 20.3; Throw In: Si; Pass End Y: 14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,18,2.0,,,,,,,,,41.3,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,0.59,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,3412,RWB,possession,Posesión / circulación
2889300873,8,Pass,1,1,0,20,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,br7zigajqee6fms35zhm1sb8p,F. Medina,52.4,73.5,1,2026-01-13T20:00:31.496Z,2026-01-13T20:00:32Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End X: 56.1; Head pass: Si; Pass End Y: 57.5; Angle: 5.06; Length: 11.6; Zone: Center,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,56.1,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,5.06,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CB,possession,Posesión / circulación
2889300897,9,Pass,1,1,0,21,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,bsdr4bp6qt4qpy303u7l11250,B. Nadir,56.1,57.5,1,2026-01-13T20:00:32.775Z,2026-01-13T20:00:37Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Length: 18.9; Pass End X: 67.1; Launch: Si; Angle: 5.37; Long ball: Si; Pass End Y: 35.5; Zone: Center,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,67.1,35.5,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,5.37,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CDM,possession,Posesión / circulación
2889300945,12,Pass,1,1,0,29,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,b3vvxolwxcukqk76hb4scvh79,A. Murillo,64.3,21.7,1,2026-01-13T20:00:40.359Z,2026-01-13T20:00:44Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End Y: 26.7; Length: 9.3; Angle: 2.77; Zone: Center; Pass End X: 56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,56.1,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,2.77,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,RB,possession,Posesión / circulación
2889300947,13,Pass,1,1,0,33,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,bsdr4bp6qt4qpy303u7l11250,B. Nadir,57.4,38.8,1,2026-01-13T20:00:44.168Z,2026-01-13T20:00:44Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End Y: 68.9; Pass End X: 45.5; Angle: 2.12; Zone: Back; Length: 24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,45.5,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.12,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CDM,possession,Posesión / circulación
2889300949,14,Pass,1,1,0,34,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,br7zigajqee6fms35zhm1sb8p,F. Medina,45.5,66.5,1,2026-01-13T20:00:44.856Z,2026-01-13T20:00:46Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Length: 15.2; Pass End Y: 48.2; Pass End X: 53.8; Zone: Center; Angle: 5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.0,,,,,,,,,53.8,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,5.32,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CB,possession,Posesión / circulación
2889300973,15,Pass,1,1,0,35,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,7nivkfkngr374fx5totgektm1,A. Gomes,53.8,48.2,1,2026-01-13T20:00:46.072Z,2026-01-13T20:00:51Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Length: 11.4; Zone: Back; Angle: 3.61; Pass End Y: 40.6; Pass End X: 44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Back,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,44.1,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,3.61,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CDM,possession,Posesión / circulación
2889300983,16,Pass,1,1,0,40,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,42.6,40.6,1,2026-01-13T20:00:51.271Z,2026-01-13T20:00:52Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End X: 58.7; Angle: 0.18; Zone: Center; Length: 17.2; Pass End Y: 45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,58.7,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.18,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CB,possession,Posesión / circulación
2889301003,17,Pass,1,1,0,41,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,7nivkfkngr374fx5totgektm1,A. Gomes,56.2,42.3,1,2026-01-13T20:00:52.103Z,2026-01-13T20:00:54Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End Y: 4.8; Pass End X: 60.0; Zone: Right; Angle: 4.87; Length: 25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,60.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,4.87,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CDM,possession,Posesión / circulación
2889301011,18,Pass,1,1,0,44,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,b3vvxolwxcukqk76hb4scvh79,A. Murillo,60.2,8.3,1,2026-01-13T20:00:54.920Z,2026-01-13T20:00:56Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Length: 18.9; Zone: Back; Pass End X: 45.8; Angle: 2.50; Pass End Y: 25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Back,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,45.8,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,2.5,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,RB,possession,Posesión / circulación
2889301029,19,Pass,1,1,0,45,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,45.8,25.0,1,2026-01-13T20:00:56.583Z,2026-01-13T20:00:59Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Length: 24.4; Zone: Right; Pass End X: 64.8; Angle: 5.67; Pass End Y: 4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.0,,,,,,,,,64.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,5.67,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CB,possession,Posesión / circulación
2889301041,20,Pass,1,1,0,48,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,b3vvxolwxcukqk76hb4scvh79,A. Murillo,72.6,3.7,1,2026-01-13T20:00:59.207Z,2026-01-13T20:01:01Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Length: 7.2; Pass End Y: 5.9; Angle: 2.93; Zone: Right; Pass End X: 65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Right,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0,,,,,,,,,65.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,2.93,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,RB,possession,Posesión / circulación
2889301075,21,Pass,1,1,0,50,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,6kicom9a3lzp49urle78bevl6,M. Greenwood,64.9,11.4,1,2026-01-13T20:01:01.495Z,2026-01-13T20:01:05Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Angle: 0.56; Chipped: Si; Zone: Center; Pass End X: 87.1; Pass End Y: 32.7; Length: 27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.0,,,,,,,,,87.1,32.7,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,0.56,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,RW,possession,Posesión / circulación
2889301363,25,Pass,1,1,1,43,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,8qezzr83ofw7htqufohg2fwlx,Emerson,99.5,0.5,0,2026-01-13T20:01:54.823Z,2026-01-14T14:30:24Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End Y: 34.6; Cross: Si; Angle: 1.74; Left footed: Si; Corner taken: Si; Pass End X: 95.7; Zone: Center; Inswinger: Si; Chipped: Si; Length: 23.5,,,Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,3.0,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3.0,,,,,,,,,95.7,34.6,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.74,,,,,,,,,,Si,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,LB,possession,Posesión / circulación
2889301431,26,Pass,1,1,1,49,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,ctq9si3nbc6n8cznhlcvtixd6,H. Traoré,73.2,28.1,1,2026-01-13T20:02:00.776Z,2026-01-13T20:02:03Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Angle: 5.37; Zone: Right; Pass End X: 85.2; Pass End Y: 4.1; Length: 20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Right,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.0,,,,,,,,,85.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,5.37,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,LW,possession,Posesión / circulación
2889301435,27,Pass,1,1,1,53,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,8qezzr83ofw7htqufohg2fwlx,Emerson,83.3,11.8,0,2026-01-13T20:02:03.863Z,2026-01-14T14:30:39Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End X: 93.9; Angle: 1.22; Length: 32.3; Left footed: Si; Cross: Si; Zone: Center; Long ball: Si; Inswinger: Si; Chipped: Si; Pass End Y: 56.4,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Center,,3.0,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3.0,,,,,,,,,93.9,56.4,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,1.22,,,,,,,,,,Si,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,LB,possession,Posesión / circulación
2889301581,29,Pass,1,1,2,6,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,ctq9si3nbc6n8cznhlcvtixd6,H. Traoré,74.0,100.0,1,2026-01-13T20:02:17.431Z,2026-01-13T20:02:22Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Throw In: Si; Long ball: Si; Length: 25.1; Angle: 3.77; Zone: Left; Pass End Y: 80.3; Pass End X: 54.7,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Left,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,8,11.0,,,,,,,,,54.7,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,3.77,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,LW,possession,Posesión / circulación
2889301627,30,Pass,1,1,2,11,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,7nivkfkngr374fx5totgektm1,A. Gomes,50.8,74.4,1,2026-01-13T20:02:22.072Z,2026-01-13T20:02:25Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Pass End X: 54.4; Zone: Center; Pass End Y: 72.8; Length: 3.9; Angle: 6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.0,,,,,,,,,54.4,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,6.0,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CDM,possession,Posesión / circulación
2889301631,31,Pass,1,1,2,14,27xvwccz8kpmqsefjv2b2sc0o,Olympique de Marseille,OM,away,bsdr4bp6qt4qpy303u7l11250,B. Nadir,58.0,71.5,1,2026-01-13T20:02:25.799Z,2026-01-13T21:04:15Z,uq7mii2ixoxttyhe8jrex3o,13,2026-01-13,21:00:00,,2,45,Bayeux vs Olympique Marseille,Angle: 2.19; Pass End Y: 76.5; Length: 4.2; Zone: Center; Pass End X: 55.7; Lay-off: Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Center,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,,,,,,,,,55.7,76.5,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,2.19,,,,,,,,,,,,,,,,,3n9mk5b2mxmq831wfmv6pu86i,Coupe de France,Coupe de France,,CDF,9renx7vq85223wt89vgcq02a7,Stade Michel d'Ornano,4231,CDM,possession,Posesión / circulación
